"","chisq","df","p"
"MAP3K8_z",5.93440700372598e-06,1,0.998056304200102
"IL1B_z",5.24087166327494,1,0.0220622171844915
"age",0.758974653556993,1,0.383649592770693
"stage",3.98300182319442,6,0.678976855378456
"rcb",5.8199763733298,3,0.120704918045162
"GLOBAL",15.2709647045439,12,0.226951606495953
