"metric","value"
"n_total","178"
"n_TROP2low_MAP3K8low","46"
"n_TROP2low_MAP3K8high","43"
"n_TROP2high_MAP3K8low","43"
"n_TROP2high_MAP3K8high","46"
"events_total","64"
"TROP2_probe","202286_s_at"
"logrank_overall_p","0.1"
"interaction_LRT_p","0.37"
