"term","HR","LCL95","UCL95","p"
"TROP2_grpTROP2_high",1.3,0.602,2.82,0.502
"MAP3K8_grpMAP3K8_high",2.28,1.1,4.7,0.026
"TROP2_grpTROP2_high:MAP3K8_grpMAP3K8_high",0.633,0.233,1.72,0.37
