"metric","value"
"n_total","178"
"events","64"
"n_high","89"
"n_low","89"
"cutoff_log2","13.03"
"HR_high_vs_low","1.04"
"LCL95","0.635"
"UCL95","1.69"
"logrank_P","0.886"
"probe_used","202286_s_at"
