"contrast","HR","LCL95","UCL95","p"
"TROP2_low / MAP3K8_high",2.28,1.1,4.7,0.026
"TROP2_high / MAP3K8_low",1.3,0.602,2.82,0.502
"TROP2_high / MAP3K8_high",1.88,0.91,3.88,0.0884
