"metric","value"
"n_total","178"
"events","64"
"n_high","89"
"n_low","89"
"cutoff_log2","9.515"
"HR_high_vs_low","1.38"
"LCL95","0.844"
"UCL95","2.27"
"logrank_P","0.195"
"probe_used","205067_at"
